symbol,isin,exchange,date,open,high,low,close,volume,year,month,day,ym
ABB LTD.    ,500002,BSE,2021-12-14,2310.0,2320.0,2260.1,2270.0,3604,2021,12,14,202112
AEGIS LOGIS ,500003,BSE,2021-12-14,234.5,234.5,225.75,226.25,84175,2021,12,14,202112
AMAR RAJA BA,500008,BSE,2021-12-14,637.45,640.2,632.4,638.45,55232,2021,12,14,202112
A.SARABHAI  ,500009,BSE,2021-12-14,30.0,30.4,29.6,29.75,102091,2021,12,14,202112
HDFC        ,500010,BSE,2021-12-14,2754.0,2760.0,2720.9,2752.1,38974,2021,12,14,202112
ANDHRA PETRO,500012,BSE,2021-12-14,129.0,130.0,127.0,127.45,106946,2021,12,14,202112
ANSAL INFRAS,500013,BSE,2021-12-14,13.99,14.05,12.91,13.71,51167,2021,12,14,202112
UTIQUE      ,500014,BSE,2021-12-14,6.75,6.75,6.75,6.75,121680,2021,12,14,202112
ARUNAHTEL   ,500016,BSE,2021-12-14,9.6,9.6,9.14,9.47,9601,2021,12,14,202112
BOM DYEING  ,500020,BSE,2021-12-14,97.3,107.95,97.2,106.0,1625119,2021,12,14,202112
ASIANHOTNR  ,500023,BSE,2021-12-14,75.85,77.0,72.6,73.1,2043,2021,12,14,202112
ATUL LTD.   ,500027,BSE,2021-12-14,8847.95,8892.3,8771.0,8824.8,993,2021,12,14,202112
ATV PROJECTS,500028,BSE,2021-12-14,14.5,14.5,13.2,13.33,49559,2021,12,14,202112
BAJAJ ELECT.,500031,BSE,2021-12-14,1154.0,1158.2,1128.15,1146.25,28477,2021,12,14,202112
BAJAJHIND   ,500032,BSE,2021-12-14,14.22,14.66,14.22,14.49,932418,2021,12,14,202112
FORCE MOTR  ,500033,BSE,2021-12-14,1349.9,1350.0,1304.55,1311.75,7034,2021,12,14,202112
BAJFINANCE  ,500034,BSE,2021-12-14,7172.0,7180.0,7035.95,7068.65,101741,2021,12,14,202112
BALRAM.CHINI,500038,BSE,2021-12-14,324.0,335.0,323.3,333.1,71598,2021,12,14,202112
BANCO PROD. ,500039,BSE,2021-12-14,175.85,178.1,175.35,176.6,11307,2021,12,14,202112
CENTURY TEXT,500040,BSE,2021-12-14,830.1,850.6,829.75,843.35,16691,2021,12,14,202112
BANNARI AMAN,500041,BSE,2021-12-14,2641.25,2744.95,2637.45,2652.6,459,2021,12,14,202112
BASF INDIA  ,500042,BSE,2021-12-14,2920.8,3026.0,2891.95,2909.55,6720,2021,12,14,202112
BATA INDIA  ,500043,BSE,2021-12-14,1994.3,2005.15,1942.45,1957.2,18587,2021,12,14,202112
