name,isin,bse,nse,series,url
360 ONE WAM,INE466L01038,542772,360ONE,EQ,https://www.moneycontrol.com/india/stockpricequote/360onewam/360onewam/IIFLW54277
3M India,INE470A01017,523395,3MINDIA,EQ,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
A & M Febcon,INE319X01018,540697,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amfebcon/F03
A B Infrabuild,INE00YB01017,0,ABINFRA,SM,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abinfrabuild/I07
A F Ent,INE663P01015,538351,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/afenterprises/AFE01
A G Universal,INE0O6N01012,0,AGUL,SM,https://www.moneycontrol.com/india/stockpricequote/trading/aguniversal/U02
A K Spintex,INE671K01019,539300,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akspintex/AKS01
A-1 Acid ,INE911Z01017,542012,,,https://www.moneycontrol.com/india/stockpricequote/chemicals/a1acid/AA14
A.K.Capital Ser,INE701G01012,530499,,,https://www.moneycontrol.com/india/stockpricequote/financegeneral/akcapitalservices/AKC01
A2Z Infra Eng,INE619I01012,533292,A2ZINFRA,,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02
AA Plus,INE0C5901014,543319,,,https://www.moneycontrol.com/india/stockpricequote/aaplus/aaplustradelink/APT03
AAA,INE0D0U01013,543671,AAATECH,EQ,https://www.moneycontrol.com/india/stockpricequote/aaa/aaatechnologies/ATL
AAR COMMERCIAL ,INE184K01013,539632,,,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aarcommercialcompany/AAR
AARTI-RE,INE09EO20013,750757,AARTI-RE,,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartisurfactantsre/ASR01
AARTIPHARM,INE0LRU01027,543748,AARTIPHARM,EQ,https://www.moneycontrol.com/india/stockpricequote/medicalequipmentsuppliesaccessories/aartipharmalabs/AP21
AASTAFIN,INE819K01014,511764,,,https://www.moneycontrol.com/india/stockpricequote/aastafin/aastamangalamfinance/UF01
AAVAS Financier,INE216P01012,541988,AAVAS,EQ,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17
AAYUSH ART,INE777X01017,540718,,,https://www.moneycontrol.com/india/stockpricequote/aayushart/aayushartandbullion/AKM
AAYUSH WELLNESS,INE430R01015,539528,,,https://www.moneycontrol.com/india/stockpricequote/aayushwellness/aayushwellness/AFH01
AB Capital,INE674K01013,540691,ABCAPITAL,EQ,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9
AB Cotspin,INE08PH01015,890161,ABCOTS,SM,https://www.moneycontrol.com/india/stockpricequote/textiles/abcotspinindia/ACI01
AB F&R-PP,IN9647O01027,890148,ABFRLPP1,,https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailpp/ABF01
AB Fashion-RE,INE647O20011,750636,ABFRL-RE,,https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailre/ABF
AB Money,INE865C01022,532974,BIRLAMONEY,EQ,https://www.moneycontrol.com/india/stockpricequote/financegeneral/adityabirlamoney/ABM01
AB Nuvo,INE069A01017,500303,ABIRLANUVO,,https://www.moneycontrol.com/india/stockpricequote/diversified/adityabirlanuvo/ABN01
ABATE AS IND.,INE454E01013,531658,,,https://www.moneycontrol.com/india/stockpricequote/abateasind/abateasindustries/TI32
ABB India,INE117A01022,500002,ABB,EQ,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
ABC Bearings,INE779A01011,505665,ANTFRIBEAR,,https://www.moneycontrol.com/india/stockpricequote/bearings/abcbearings/ABC02
ABC Gas,INE173M01012,513119,,,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/abcgasinternational/BE05
ABC India,INE125D01011,520123,,,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/abcindia/ABC
ABG Shipyard,INE067H01016,532682,ABGSHIP,,https://www.moneycontrol.com/india/stockpricequote/shipping/abgshipyard/ABG01
ABL Biotech,INE707D01016,526955,,,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ablbiotechnologies/ABL
ABM Inter,INE251C01025,,ABMINTLLTD,BE,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abminternational/ABM02
ABM Knowledg,INE850B01026,531161,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abmknowledgeware/ABM
ABS Marine,INE0QRV01016,0,ABSMARINE,SM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/absmarineservices/AMSL
ABSL AMC,INE404A01024,543374,ABSLAMC,EQ,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/adityabirlasunlifeamc/ABS
ABSL N50 ETF,INF209KB19D1,,BSLNIFTY,EQ,https://www.moneycontrol.com/india/stockpricequote/absln50etf/adityabirlasunlifenifty50etf/BSL03
ABSL NHETF,INF209KB10C2,0,HEALTHY,EQ,https://www.moneycontrol.com/india/stockpricequote/etf/adityabirlasunlifeniftyhealthcareetf/ABS02
ABSL Silver ETF,INF209KB19F6,543471,SILVER,EQ,https://www.moneycontrol.com/india/stockpricequote/abslsilveretf/adityabirlasunlifesilveretf/ABS04
ABSLLIQUID,INF209KB18T9,,ABSLLIQUID,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abslliquid/ABSLL14518
ABSLNBANKETF,INF209KB1O58,,ABSLBANETF,EQ,https://www.moneycontrol.com/india/stockpricequote/abslnbanketf/adityabirlasunlifeniftybanketf/ABSLB13987
ABSLNN50ET,INF209KB16D7,,ABSLNN50ET,EQ,https://www.moneycontrol.com/india/stockpricequote/abslnn50et/adityabirlasunlifeniftynext50etf/ABSLN7339
ABSLPSE,INF209KB19Z4,,ABSLPSE,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abslpse/ABSLP23806
