symbol,isin,exchange,date,open,high,low,close,volume,year,month,day,ym
20MICRONS,INE144J01027,NSE,2021-12-14,64.0,64.0,61.55,62.3,46660,2021,12,14,202112
21STCENMGM,INE253B01015,NSE,2021-12-14,52.15,54.25,52.15,54.15,47458,2021,12,14,202112
3IINFOLTD,INE748C01038,NSE,2021-12-14,107.5,111.1,106.4,111.1,4540259,2021,12,14,202112
3MINDIA,INE470A01017,NSE,2021-12-14,25070.65,25229.45,24700.05,24777.5,1153,2021,12,14,202112
3PLAND,INE105C01023,NSE,2021-12-14,14.95,14.95,13.1,14.4,11066,2021,12,14,202112
5PAISA,INE618L01018,NSE,2021-12-14,430.0,438.4,421.0,429.25,11434,2021,12,14,202112
63MOONS,INE111B01023,NSE,2021-12-14,196.75,196.75,187.4,196.75,699387,2021,12,14,202112
AAKASH,INE087Z01016,NSE,2021-12-14,232.5,252.5,222.5,239.55,108410,2021,12,14,202112
AAREYDRUGS,INE198H01019,NSE,2021-12-14,38.95,40.7,38.5,39.9,163875,2021,12,14,202112
AARON,INE721Z01010,NSE,2021-12-14,113.55,118.25,111.65,114.45,2584,2021,12,14,202112
AARTIDRUGS,INE767A01016,NSE,2021-12-14,588.0,589.8,558.2,565.1,256449,2021,12,14,202112
AARTIIND,INE769A01020,NSE,2021-12-14,1008.0,1014.8,985.15,988.45,695765,2021,12,14,202112
AARTISURF,INE09EO01013,NSE,2021-12-14,1124.0,1142.95,1088.05,1108.75,12125,2021,12,14,202112
AARVEEDEN,INE273D01019,NSE,2021-12-14,25.0,26.45,24.25,24.9,39772,2021,12,14,202112
AARVI,INE754X01016,NSE,2021-12-14,85.75,86.8,79.5,80.9,209313,2021,12,14,202112
AAVAS,INE216P01012,NSE,2021-12-14,2635.0,2635.1,2530.0,2555.4,124985,2021,12,14,202112
ABB,INE117A01022,NSE,2021-12-14,2305.0,2319.7,2260.05,2272.55,71628,2021,12,14,202112
ABBOTINDIA,INE358A01014,NSE,2021-12-14,18325.05,18470.5,18065.0,18273.75,18730,2021,12,14,202112
ABCAPITAL,INE674K01013,NSE,2021-12-14,124.9,124.9,120.9,121.9,4621461,2021,12,14,202112
ABFRL,INE647O01011,NSE,2021-12-14,265.7,290.9,264.4,283.35,18237309,2021,12,14,202112
ABMINTLLTD,INE251C01025,NSE,2021-12-14,108.65,114.0,98.35,105.4,5457,2021,12,14,202112
ABSLAMC,INE404A01024,NSE,2021-12-14,585.0,587.65,579.5,580.65,76250,2021,12,14,202112
ABSLBANETF,INF209KB17D5,NSE,2021-12-14,37.0,37.0,36.1,36.79,2122,2021,12,14,202112
ABSLNN50ET,INF209KB16D7,NSE,2021-12-14,43.75,43.75,43.02,43.44,2414,2021,12,14,202112
ACC,INE012A01025,NSE,2021-12-14,2280.0,2326.3,2272.45,2320.15,408050,2021,12,14,202112
ACCELYA,INE793A01012,NSE,2021-12-14,1103.0,1130.0,1085.0,1088.45,17087,2021,12,14,202112
ACCURACY,INE648Z01015,NSE,2021-12-14,206.0,214.8,203.2,206.7,78654,2021,12,14,202112
